country,rank
Nepal,0.5
India,0.49
Cambodia,0.48
Gabon,0.46
Haiti,0.45
Senegal,0.42
SSA average,0.4
Zambia,0.39
Uganda,0.38
DRC,0.37
Nigeria,0.36
Mali,0.32
Niger,0.29
