country,series,date,value
Canada,3,2017,11.18
Canada,3,2018,11.66
Canada,3,2019,13.18
Canada,3,2020,13.23
Canada,3,2021,15.53
Canada,3,2022,18.89
Canada,3,2023,17.66
Germany,4,2013,19.03
Germany,4,2014,18.89
Germany,4,2015,18.90
Germany,4,2016,22.04
Germany,4,2017,24.44
Germany,4,2018,25.30
Germany,4,2019,26.74
Germany,4,2020,35.23
Germany,4,2021,33.68
Germany,4,2022,34.06
Germany,4,2023,33.05
United States,4,2013,36.39
United States,4,2014,36.48
United States,4,2015,41.22
United States,4,2016,48.67
United States,4,2017,54.80
United States,4,2018,58.14
United States,4,2019,65.00
United States,4,2020,78.79
United States,4,2021,71.80
United States,4,2022,90.07
United States,4,2023,85.29
Italy,4,2013,6.82
Italy,4,2014,6.73
Italy,4,2015,6.48
Italy,4,2016,7.57
Italy,4,2017,8.42
Italy,4,2018,8.85
Italy,4,2019,9.40
Italy,4,2020,13.23
Italy,4,2021,10.96
Italy,4,2022,11.22
Italy,4,2023,11.96
France,4,2013,12.11
France,4,2014,11.39
France,4,2015,11.17
France,4,2016,13.16
France,4,2017,14.33
France,4,2018,14.22
France,4,2019,15.43
France,4,2020,21.25
France,4,2021,17.75
France,4,2022,18.49
France,4,2023,18.28
UK,4,2013,9.02
UK,4,2014,9.56
UK,4,2015,9.83
UK,4,2016,10.62
UK,4,2017,11.32
UK,4,2018,11.72
UK,4,2019,12.79
UK,4,2020,20.73
UK,4,2021,17.18
UK,4,2022,16.17
UK,4,2023,15.51
Japan,4,2013,11.81
Japan,4,2014,11.16
Japan,4,2015,11.12
Japan,4,2016,13.45
Japan,4,2017,14.57
Japan,4,2018,15.11
Japan,4,2019,16.47
Japan,4,2020,18.84
Japan,4,2021,16.45
Japan,4,2022,19.73
Japan,4,2023,6.12
Canada,4,2013,6.29
Canada,4,2014,6.06
Canada,4,2015,6.36
Canada,4,2016,6.88
Canada,4,2017,7.59
Canada,4,2018,7.66
Canada,4,2019,8.17
Canada,4,2020,10.52
Canada,4,2021,9.56
Canada,4,2022,11.41
Canada,4,2023,10.65
