country,value,value2
Spain,0.08,0.0008
Germany,0.06,0.0006
Italy,0.05,0.0005
Japan,0.03,0.0003
South Korea,0.02,0.0002
Poland,0.01,0.0001
UK,0.01,0.0001
France,0.01,0.0001
