metric,forest,value
Carbon emitted (Gt CO2e/yr),Amazon,1.1
Carbon absorbed (Gt CO2e/yr),Amazon,-1.2
Net flow (Gt CO2e/yr),Amazon,-0.1
Carbon emitted (Gt CO2e/yr),Congo,0.53
Carbon absorbed (Gt CO2e/yr),Congo,-1.1
Net flow (Gt CO2e/yr),Congo,-0.61
Carbon emitted (Gt CO2e/yr),SE Asia,1.6
Carbon absorbed (Gt CO2e/yr),SE Asia,-1.1
Net flow (Gt CO2e/yr),SE Asia,0.49
